종목코드,종목명,시장구분
023530_NX,롯데쇼핑,KOSPI
030000_NX,제일기획,KOSPI
120110_NX,코오롱인더,KOSPI
032640_NX,LG유플러스,KOSPI
010950_NX,S-Oil,KOSPI
035250_NX,강원랜드,KOSPI
006280_NX,녹십자,KOSPI
004370_NX,농심,KOSPI
001680_NX,대상,KOSPI
192080_NX,더블유게임즈,KOSPI
145720_NX,덴티움,KOSPI
004000_NX,롯데정밀화학,KOSPI
004990_NX,롯데지주,KOSPI
005300_NX,롯데칠성,KOSPI
002840_NX,미원상사,KOSPI
016360_NX,삼성증권,KOSPI
004170_NX,신세계,KOSPI
002790_NX,아모레G,KOSPI
005850_NX,에스엘,KOSPI
012750_NX,에스원,KOSPI
036570_NX,엔씨소프트,KOSPI
111770_NX,영원무역,KOSPI
007310_NX,오뚜기,KOSPI
139480_NX,이마트,KOSPI
039490_NX,키움증권,KOSPI
000080_NX,하이트진로,KOSPI
071050_NX,한국금융지주,KOSPI
014680_NX,한솔케미칼,KOSPI
051600_NX,한전KPS,KOSPI
000880_NX,한화,KOSPI
000720_NX,현대건설,KOSPI
017800_NX,현대엘리베이,KOSPI
011210_NX,현대위아,KOSPI
004020_NX,현대제철,KOSPI
001450_NX,현대해상,KOSPI
008770_NX,호텔신라,KOSPI
138930_NX,BNK금융지주,KOSPI
000120_NX,CJ대한통운,KOSPI
097950_NX,CJ제일제당,KOSPI
005830_NX,DB손해보험,KOSPI
000210_NX,DL,KOSPI
114090_NX,GKL,KOSPI
078930_NX,GS,KOSPI
006360_NX,GS건설,KOSPI
007070_NX,GS리테일,KOSPI
267250_NX,HD현대,KOSPI
298050_NX,HS효성첨단소재,KOSPI
002380_NX,KCC,KOSPI
051900_NX,LG생활건강,KOSPI
001120_NX,LX인터내셔널,KOSPI
005940_NX,NH투자증권,KOSPI
456040_NX,OCI,KOSPI
010060_NX,OCI홀딩스,KOSPI
361610_NX,SK아이이테크놀로지,KOSPI
069260_NX,TKG휴켐스,KOSPI
010130_NX,고려아연,KOSPI
011780_NX,금호석유,KOSPI
073240_NX,금호타이어,KOSPI
000270_NX,기아,KOSPI
024110_NX,기업은행,KOSPI
251270_NX,넷마블,KOSPI
005250_NX,녹십자홀딩스,KOSPI
047040_NX,대우건설,KOSPI
003090_NX,대웅,KOSPI
069620_NX,대웅제약,KOSPI
006650_NX,대한유화,KOSPI
001440_NX,대한전선,KOSPI
003490_NX,대한항공,KOSPI
026960_NX,동서,KOSPI
014820_NX,동원시스템즈,KOSPI
000150_NX,두산,KOSPI
454910_NX,두산로보틱스,KOSPI
241560_NX,두산밥캣,KOSPI
034020_NX,두산에너빌리티,KOSPI
336260_NX,두산퓨얼셀,KOSPI
280360_NX,롯데웰푸드,KOSPI
011170_NX,롯데케미칼,KOSPI
138040_NX,메리츠금융지주,KOSPI
006800_NX,미래에셋증권,KOSPI
028050_NX,삼성E&A,KOSPI
006400_NX,삼성SDI,KOSPI
028260_NX,삼성물산,KOSPI
207940_NX,삼성바이오로직스,KOSPI
032830_NX,삼성생명,KOSPI
018260_NX,삼성에스디에스,KOSPI
009150_NX,삼성전기,KOSPI
005930_NX,삼성전자,KOSPI
010140_NX,삼성중공업,KOSPI
029780_NX,삼성카드,KOSPI
000810_NX,삼성화재,KOSPI
006110_NX,삼아알미늄,KOSPI
003230_NX,삼양식품,KOSPI
004490_NX,세방전지,KOSPI
001430_NX,세아베스틸지주,KOSPI
003030_NX,세아제강지주,KOSPI
068270_NX,셀트리온,KOSPI
055550_NX,신한지주,KOSPI
112610_NX,씨에스윈드,KOSPI
090430_NX,아모레퍼시픽,KOSPI
137310_NX,에스디바이오센서,KOSPI
278470_NX,에이피알,KOSPI
450080_NX,에코프로머티,KOSPI
066970_NX,엘앤에프,KOSPI
009970_NX,영원무역홀딩스,KOSPI
271560_NX,오리온,KOSPI
001800_NX,오리온홀딩스,KOSPI
316140_NX,우리금융지주,KOSPI
000100_NX,유한양행,KOSPI
008730_NX,율촌화학,KOSPI
457190_NX,이수스페셜티케미컬,KOSPI
271940_NX,일진하이솔루스,KOSPI
185750_NX,종근당,KOSPI
035720_NX,카카오,KOSPI
323410_NX,카카오뱅크,KOSPI
377300_NX,카카오페이,KOSPI
192820_NX,코스맥스,KOSPI
005070_NX,코스모신소재,KOSPI
005420_NX,코스모화학,KOSPI
021240_NX,코웨이,KOSPI
259960_NX,크래프톤,KOSPI
003240_NX,태광산업,KOSPI
028670_NX,팬오션,KOSPI
022100_NX,포스코DX,KOSPI
047050_NX,포스코인터내셔널,KOSPI
003670_NX,포스코퓨처엠,KOSPI
103140_NX,풍산,KOSPI
086790_NX,하나금융지주,KOSPI
039130_NX,하나투어,KOSPI
352820_NX,하이브,KOSPI
036460_NX,한국가스공사,KOSPI
000240_NX,한국앤컴퍼니,KOSPI
015760_NX,한국전력,KOSPI
161890_NX,한국콜마,KOSPI
161390_NX,한국타이어앤테크놀로지,KOSPI
047810_NX,한국항공우주,KOSPI
042700_NX,한미반도체,KOSPI
008930_NX,한미사이언스,KOSPI
128940_NX,한미약품,KOSPI
009240_NX,한샘,KOSPI
105630_NX,한세실업,KOSPI
018880_NX,한온시스템,KOSPI
009420_NX,한올바이오파마,KOSPI
300720_NX,한일시멘트,KOSPI
052690_NX,한전기술,KOSPI
180640_NX,한진칼,KOSPI
489790_NX,한화비전,KOSPI
088350_NX,한화생명,KOSPI
009830_NX,한화솔루션,KOSPI
272210_NX,한화시스템,KOSPI
012450_NX,한화에어로스페이스,KOSPI
042660_NX,한화오션,KOSPI
086280_NX,현대글로비스,KOSPI
064350_NX,현대로템,KOSPI
012330_NX,현대모비스,KOSPI
069960_NX,현대백화점,KOSPI
005380_NX,현대차,KOSPI
298040_NX,효성중공업,KOSPI
298020_NX,효성티앤씨,KOSPI
093370_NX,후성,KOSPI
081660_NX,휠라홀딩스,KOSPI
282330_NX,BGF리테일,KOSPI
001040_NX,CJ,KOSPI
139130_NX,DGB금융지주,KOSPI
375500_NX,DL이앤씨,KOSPI
383220_NX,F&F,KOSPI
009540_NX,HD한국조선해양,KOSPI
010620_NX,HD현대미포,KOSPI
042670_NX,HD현대인프라코어,KOSPI
267260_NX,HD현대일렉트릭,KOSPI
