종목코드,종목명,시장구분
060310,3S,KOSDAQ
054620,APS,KOSDAQ
265520,AP시스템,KOSDAQ
211270,AP위성,KOSDAQ
109960,AP헬스케어,KOSDAQ
139050,BF랩스,KOSDAQ
126600,BGF에코머티리얼즈,KOSDAQ
083790,CG인바이츠,KOSDAQ
035760,CJ ENM,KOSDAQ
311690,CJ 바이오사이언스,KOSDAQ
051500,CJ프레시웨이,KOSDAQ
058820,CMG제약,KOSDAQ
056730,CNT85,KOSDAQ
065770,CS,KOSDAQ
083660,CSA 코스믹,KOSDAQ
477760,DB금융스팩12호,KOSDAQ
099520,DGI,KOSDAQ
060900,DGP,KOSDAQ
290120,DH오토리드,KOSDAQ
025440,DH오토웨어,KOSDAQ
068790,DMS,KOSDAQ
241520,DSC인베스트먼트,KOSDAQ
180400,DXVX,KOSDAQ
418620,E8,KOSDAQ
245620,EDGC,KOSDAQ
037370,EG,KOSDAQ
050120,ES큐브,KOSDAQ
214270,FSN,KOSDAQ
130500,GH신소재,KOSDAQ
900290,GRT,KOSDAQ
083450,GST,KOSDAQ
297890,HB솔루션,KOSDAQ
440290,HB인베스트먼트,KOSDAQ
078150,HB테크놀러지,KOSDAQ
195940,HK이노엔,KOSDAQ
028300,HLB,KOSDAQ
278650,HLB바이오스텝,KOSDAQ
067630,HLB생명과학,KOSDAQ
024850,HLB이노베이션,KOSDAQ
187420,HLB제넥스,KOSDAQ
047920,HLB제약,KOSDAQ
115450,HLB테라퓨틱스,KOSDAQ
046210,HLB파나진,KOSDAQ
196300,HLB펩,KOSDAQ
403870,HPSP,KOSDAQ
036640,HRS,KOSDAQ
442770,IBKS제21호스팩,KOSDAQ
448760,IBKS제22호스팩,KOSDAQ
467930,IBKS제23호스팩,KOSDAQ
469480,IBKS제24호스팩,KOSDAQ
095340,ISC,KOSDAQ
950170,JTC,KOSDAQ
067290,JW신약,KOSDAQ
035900,JYP Ent.,KOSDAQ
318000,KBG,KOSDAQ
024840,KBI메탈,KOSDAQ
024120,KB오토시스,KOSDAQ
455250,KB제25호스팩,KOSDAQ
464680,KB제27호스팩,KOSDAQ
478390,KB제29호스팩,KOSDAQ
486630,KB제30호스팩,KOSDAQ
492220,KB제31호스팩,KOSDAQ
0037T0,KB제32호스팩,KOSDAQ
021320,KCC건설,KOSDAQ
044180,KD,KOSDAQ
046440,KG모빌리언스,KOSDAQ
151860,KG에코솔루션,KOSDAQ
035600,KG이니시스,KOSDAQ
226360,KH 건설,KOSDAQ
111870,KH 미래물산,KOSDAQ
060720,KH바텍,KOSDAQ
058400,KNN,KOSDAQ
101000,KS인더스트리,KOSDAQ
089600,KT나스미디어,KOSDAQ
418470,KT밀리의서재,KOSDAQ
043610,KT지니뮤직,KOSDAQ
122450,KX,KOSDAQ
052900,KX하이텍,KOSDAQ
036560,KZ정밀,KOSDAQ
061970,LB세미콘,KOSDAQ
309960,LB인베스트먼트,KOSDAQ
225190,LK삼양,KOSDAQ
060370,LS마린솔루션,KOSDAQ
417200,LS머트리얼즈,KOSDAQ
078020,LS증권,KOSDAQ
322180,LS티라유텍,KOSDAQ
476080,M83,KOSDAQ
086960,MDS테크,KOSDAQ
160550,NEW,KOSDAQ
053290,NE능률,KOSDAQ
060250,NHN KCP,KOSDAQ
104200,NHN벅스,KOSDAQ
063570,NICE인프라,KOSDAQ
222160,NPX,KOSDAQ
024940,PN풍년,KOSDAQ
332570,PS일렉트로닉스,KOSDAQ
218410,RFHIC,KOSDAQ
327260,RF머트리얼즈,KOSDAQ
474610,RF시스템즈,KOSDAQ
091340,S&K폴리텍,KOSDAQ
419530,SAMG엔터,KOSDAQ
019550,SBI인베스트먼트,KOSDAQ
950110,SBI핀테크솔루션즈,KOSDAQ
246960,SCL사이언스,KOSDAQ
099220,SDN,KOSDAQ
036540,SFA반도체,KOSDAQ
255220,SG,KOSDAQ
040610,SG&G,KOSDAQ
049470,SGA,KOSDAQ
184230,SGA솔루션즈,KOSDAQ
016250,SGC E&C,KOSDAQ
357880,SKAI,KOSDAQ
048550,SM C&C,KOSDAQ
063440,SM Life Design,KOSDAQ
067160,SOOP,KOSDAQ
289080,SV인베스트먼트,KOSDAQ
013720,THE CUBE&,KOSDAQ
089230,THE E&M,KOSDAQ
032540,TJ미디어,KOSDAQ
048770,TPC,KOSDAQ
246690,TS인베스트먼트,KOSDAQ
317240,TS트릴리온,KOSDAQ
057030,YBM넷,KOSDAQ
040300,YTN,KOSDAQ
051390,YW,KOSDAQ
052220,iMBC,KOSDAQ
079940,가비아,KOSDAQ
078890,가온그룹,KOSDAQ
399720,가온칩스,KOSDAQ
036620,감성코퍼레이션,KOSDAQ
198440,강동씨앤엘,KOSDAQ
217730,강스템바이오텍,KOSDAQ
114190,강원에너지,KOSDAQ
094480,갤럭시아머니트리,KOSDAQ
039240,경남스틸,KOSDAQ
053950,경남제약,KOSDAQ
011040,경동제약,KOSDAQ
024910,경창산업,KOSDAQ
049720,고려신용정보,KOSDAQ
014570,고려제약,KOSDAQ
348150,고바이오랩,KOSDAQ
950190,고스트스튜디오,KOSDAQ
098460,고영,KOSDAQ
035290,골드앤에스,KOSDAQ
215000,골프존,KOSDAQ
121440,골프존홀딩스,KOSDAQ
366030,공구우먼,KOSDAQ
014200,광림,KOSDAQ
029480,광무,KOSDAQ
026910,광진실업,KOSDAQ
456490,교보14호스팩,KOSDAQ
465320,교보15호스팩,KOSDAQ
